actual,probability,cum_fraud,gain
0,0.000112155045,12,100.0
0,0.00011142568,12,100.0
0,0.000111217305,12,100.0
0,0.00011029688,12,100.0
0,0.000110129884,12,100.0
0,0.000110093344,12,100.0
0,0.0001097731,12,100.0
0,0.000109498564,12,100.0
0,0.00010911041,12,100.0
0,0.000108951856,12,100.0
0,0.00010858811,12,100.0
0,0.00010817172,12,100.0
0,0.00010800372,12,100.0
0,0.00010769991,12,100.0
0,0.000107557265,12,100.0
0,0.000107507316,12,100.0
0,0.00010723262,12,100.0
0,0.00010705067,12,100.0
0,0.00010693965,12,100.0
0,0.00010596375,12,100.0
0,0.00010529705,12,100.0
0,0.000105132,12,100.0
0,0.000105051135,12,100.0
0,0.00010499064,12,100.0
0,0.000104942796,12,100.0
0,0.00010465439,12,100.0
0,0.00010387808,12,100.0
0,0.000103746715,12,100.0
0,0.00010342885,12,100.0
0,0.00010328633,12,100.0
0,0.00010294857,12,100.0
0,0.00010277426,12,100.0
0,0.0001020915,12,100.0
0,0.0001015136,12,100.0
0,0.000100505815,12,100.0
0,9.953431e-05,12,100.0
0,9.933036e-05,12,100.0
0,9.9249126e-05,12,100.0
0,9.888316e-05,12,100.0
0,9.882038e-05,12,100.0
0,9.859673e-05,12,100.0
0,9.8278804e-05,12,100.0
0,9.822887e-05,12,100.0
0,9.813187e-05,12,100.0
0,9.8125034e-05,12,100.0
0,9.770925e-05,12,100.0
0,9.7571174e-05,12,100.0
0,9.720602e-05,12,100.0
0,9.681656e-05,12,100.0
0,9.677503e-05,12,100.0
0,9.633289e-05,12,100.0
0,9.6188785e-05,12,100.0
0,9.5848445e-05,12,100.0
0,9.576138e-05,12,100.0
0,9.557245e-05,12,100.0
0,9.5438576e-05,12,100.0
0,9.533279e-05,12,100.0
0,9.5184274e-05,12,100.0
0,9.456555e-05,12,100.0
0,9.4498384e-05,12,100.0
0,9.438698e-05,12,100.0
0,9.423149e-05,12,100.0
0,9.4216484e-05,12,100.0
0,9.364154e-05,12,100.0
0,9.360083e-05,12,100.0
0,9.351768e-05,12,100.0
0,9.3224924e-05,12,100.0
0,9.308644e-05,12,100.0
0,9.301563e-05,12,100.0
0,9.280778e-05,12,100.0
0,9.151093e-05,12,100.0
0,9.114124e-05,12,100.0
0,9.105602e-05,12,100.0
0,9.0997e-05,12,100.0
0,9.091633e-05,12,100.0
0,9.0783265e-05,12,100.0
0,9.036075e-05,12,100.0
0,9.011963e-05,12,100.0
0,9.0015536e-05,12,100.0
0,8.951453e-05,12,100.0
0,8.924911e-05,12,100.0
0,8.897455e-05,12,100.0
0,8.8828056e-05,12,100.0
0,8.867166e-05,12,100.0
0,8.8412366e-05,12,100.0
0,8.807182e-05,12,100.0
0,8.76896e-05,12,100.0
0,8.759943e-05,12,100.0
0,8.751151e-05,12,100.0
0,8.6769134e-05,12,100.0
0,8.6256245e-05,12,100.0
0,8.621381e-05,12,100.0
0,8.616359e-05,12,100.0
0,8.602132e-05,12,100.0
0,8.594638e-05,12,100.0
0,8.580135e-05,12,100.0
0,8.558537e-05,12,100.0
0,8.546761e-05,12,100.0
0,8.5087515e-05,12,100.0
0,8.507048e-05,12,100.0
0,8.503341e-05,12,100.0
0,8.443017e-05,12,100.0
0,8.437986e-05,12,100.0
0,8.421066e-05,12,100.0
0,8.3881656e-05,12,100.0
0,8.367299e-05,12,100.0
0,8.358279e-05,12,100.0
0,8.356558e-05,12,100.0
0,8.3298415e-05,12,100.0
0,8.319458e-05,12,100.0
0,8.3193074e-05,12,100.0
0,8.3134546e-05,12,100.0
0,8.267633e-05,12,100.0
0,8.258453e-05,12,100.0
0,8.244274e-05,12,100.0
0,8.2320184e-05,12,100.0
0,8.2231614e-05,12,100.0
0,8.222549e-05,12,100.0
0,8.218284e-05,12,100.0
0,8.201336e-05,12,100.0
0,8.1352984e-05,12,100.0
0,8.1266844e-05,12,100.0
0,8.122833e-05,12,100.0
0,8.1085775e-05,12,100.0
0,8.105957e-05,12,100.0
0,8.072356e-05,12,100.0
0,8.058342e-05,12,100.0
0,8.049725e-05,12,100.0
0,8.048981e-05,12,100.0
0,8.0180085e-05,12,100.0
0,8.009572e-05,12,100.0
0,8.001228e-05,12,100.0
0,7.995126e-05,12,100.0
0,7.985023e-05,12,100.0
0,7.964574e-05,12,100.0
0,7.958409e-05,12,100.0
0,7.958091e-05,12,100.0
0,7.947473e-05,12,100.0
0,7.938997e-05,12,100.0
0,7.927906e-05,12,100.0
0,7.92675e-05,12,100.0
0,7.918032e-05,12,100.0
0,7.867769e-05,12,100.0
0,7.8590856e-05,12,100.0
0,7.844657e-05,12,100.0
0,7.8443205e-05,12,100.0
0,7.830277e-05,12,100.0
0,7.820524e-05,12,100.0
0,7.819174e-05,12,100.0
